,MSA,Year,Total,Estimated,Rate
192,"Athens-Clarke County, GA ",2009,11,11,5.8
193,"Athens-Clarke County, GA ",2010,8,8,4.2
194,"Athens-Clarke County, GA ",2011,6,6,3.1
195,"Athens-Clarke County, GA ",2012,6,6,3.1
196,"Athens-Clarke County, GA ",2013,2,2,1
197,"Athens-Clarke County, GA ",2014,4,4,2
198,"Athens-Clarke County, GA ",2015,5,5,2.5
199,"Athens-Clarke County, GA ",2016,6,6,2.9
200,"Atlanta-Sandy Springs-Marietta, GA ",2006,372,377,7.4
201,"Atlanta-Sandy Springs-Marietta, GA ",2007,455,458,8.7
202,"Atlanta-Sandy Springs-Marietta, GA ",2008,397,397,7.4
203,"Atlanta-Sandy Springs-Marietta, GA ",2009,325,325,5.9
204,"Atlanta-Sandy Springs-Marietta, GA ",2010,333,334,6.1
205,"Atlanta-Sandy Springs-Marietta, GA ",2011,318,319,6
206,"Atlanta-Sandy Springs-Roswell, GA ",2012,333,333,6.1
207,"Atlanta-Sandy Springs-Roswell, GA ",2013,323,324,5.9
208,"Atlanta-Sandy Springs-Roswell, GA ",2014,342,342,6.1
209,"Atlanta-Sandy Springs-Roswell, GA ",2015,351,352,6.2
210,"Atlanta-Sandy Springs-Roswell, GA ",2016,395,396,6.8
211,"Atlantic City, NJ ",2006,30,30,11.1
212,"Atlantic City-Hammonton, NJ ",2007,15,15,5.5
213,"Atlantic City-Hammonton, NJ ",2008,21,21,7.7
214,"Atlantic City-Hammonton, NJ ",2009,24,24,8.8
215,"Atlantic City-Hammonton, NJ ",2010,22,22,8
216,"Atlantic City-Hammonton, NJ ",2011,22,22,8
217,"Atlantic City-Hammonton, NJ ",2012,30,30,10.9
218,"Atlantic City-Hammonton, NJ ",2013,8,8,2.9
219,"Atlantic City-Hammonton, NJ ",2014,17,17,6.1
220,"Atlantic City-Hammonton, NJ ",2015,19,19,6.9
221,"Auburn-Opelika, AL ",2007,8,8,6.3
222,"Auburn-Opelika, AL ",2008,6,6,4.5
223,"Auburn-Opelika, AL ",2009,9,9,6.6
224,"Auburn-Opelika, AL ",2011,3,3,2.1
225,"Auburn-Opelika, AL ",2012,8,8,5.6
226,"Auburn-Opelika, AL M.S.A",2014,3,3,2
227,"Auburn-Opelika, AL M.S.A",2016,22,22,13.7
228,"Augusta-Richmond County, GA-SC ",2006,31,32,6
229,"Augusta-Richmond County, GA-SC ",2007,37,37,7
230,"Augusta-Richmond County, GA-SC ",2008,41,41,7.7
231,"Augusta-Richmond County, GA-SC ",2009,42,42,7.8
232,"Augusta-Richmond County, GA-SC ",2010,54,54,10.2
233,"Augusta-Richmond County, GA-SC ",2011,50,50,8.9
234,"Augusta-Richmond County, GA-SC ",2012,47,47,8.2
235,"Augusta-Richmond County, GA-SC ",2013,32,32,5.5
236,"Augusta-Richmond County, GA-SC ",2014,39,39,6.7
237,"Augusta-Richmond County, GA-SC ",2016,44,44,7.4
238,"Austin-Round Rock, TX ",2006,29,29,1.9
239,"Austin-Round Rock, TX ",2007,43,43,2.8
240,"Austin-Round Rock, TX ",2008,33,33,2
241,"Austin-Round Rock, TX ",2012,39,39,2.2
242,"Austin-Round Rock, TX ",2013,52,52,2.8
243,"Austin-Round Rock, TX ",2014,46,46,2.4
244,"Austin-Round Rock, TX ",2015,44,44,2.2
245,"Austin-Round Rock, TX ",2016,70,70,3.4
246,"Austin-Round Rock-San Marcos, TX ",2009,41,41,2.4
247,"Austin-Round Rock-San Marcos, TX ",2010,60,60,3.4
248,"Austin-Round Rock-San Marcos, TX ",2011,50,50,2.9
249,"Bakersfield, CA ",2006,65,65,8.5
250,"Bakersfield, CA ",2007,50,50,6.3
251,"Bakersfield, CA ",2008,57,57,7.1
252,"Bakersfield, CA ",2012,65,65,7.6
253,"Bakersfield, CA ",2013,61,61,7.1
254,"Bakersfield, CA ",2014,59,59,6.7
255,"Bakersfield, CA ",2015,64,64,7.3
256,"Bakersfield, CA ",2016,88,88,9.9
257,"Bakersfield-Delano, CA ",2009,75,75,9.2
258,"Bakersfield-Delano, CA ",2010,74,74,9
259,"Bakersfield-Delano, CA ",2011,46,46,5.4
260,"Baltimore-Columbia-Towson, MD ",2012,262,262,9.5
261,"Baltimore-Columbia-Towson, MD ",2013,278,278,10
262,"Baltimore-Columbia-Towson, MD ",2014,268,268,9.6
263,"Baltimore-Columbia-Towson, MD ",2015,367,367,13.1
264,"Baltimore-Columbia-Towson, MD ",2016,395,395,14.1
265,"Baltimore-Towson, MD ",2006,355,355,13.3
266,"Baltimore-Towson, MD ",2007,355,355,13.4
267,"Baltimore-Towson, MD ",2008,300,300,11.3
268,"Baltimore-Towson, MD ",2009,298,298,11.1
269,"Baltimore-Towson, MD ",2010,279,279,10.3
270,"Baltimore-Towson, MD ",2011,256,256,9.4
271,"Bangor, ME ",2006,3,3,2
272,"Bangor, ME ",2007,3,3,2.1
273,"Bangor, ME ",2008,2,2,1.3
274,"Bangor, ME ",2009,4,4,2.7
275,"Bangor, ME ",2010,3,3,2
276,"Bangor, ME ",2011,7,7,4.5
277,"Bangor, ME ",2012,8,8,5.2
278,"Bangor, ME ",2013,6,6,3.9
279,"Bangor, ME ",2014,4,4,2.6
280,"Bangor, ME ",2015,3,3,2
281,"Bangor, ME ",2016,0,0,0
282,"Barnstable Town, MA ",2006,4,4,1.8
283,"Barnstable Town, MA ",2007,2,2,0.9
284,"Barnstable Town, MA ",2008,2,2,0.9
285,"Barnstable Town, MA ",2009,4,4,1.8
286,"Barnstable Town, MA ",2010,1,1,0.5
287,"Barnstable Town, MA ",2011,3,3,1.4
288,"Barnstable Town, MA ",2012,1,1,0.5
289,"Barnstable Town, MA ",2013,2,2,0.9
290,"Barnstable Town, MA ",2014,3,3,1.4
291,"Barnstable Town, MA ",2015,3,3,1.4
292,"Barnstable Town, MA ",2016,1,1,0.5
293,"Baton Rouge, LA ",2006,95,100,14.4
294,"Baton Rouge, LA ",2007,135,138,17.9
295,"Baton Rouge, LA ",2008,102,105,13.4
296,"Baton Rouge, LA ",2009,109,110,14
297,"Baton Rouge, LA ",2011,95,96,11.9
298,"Baton Rouge, LA ",2012,95,96,11.8
299,"Baton Rouge, LA ",2013,83,84,10.2
300,"Baton Rouge, LA ",2014,88,88,10.7
301,"Baton Rouge, LA ",2015,92,92,11.1
302,"Baton Rouge, LA ",2016,79,79,9.5
303,"Battle Creek, MI ",2006,11,11,7.9
304,"Battle Creek, MI ",2007,11,11,8
305,"Battle Creek, MI ",2008,5,5,3.7
306,"Battle Creek, MI ",2009,14,14,10.4
307,"Battle Creek, MI ",2010,6,6,4.5
308,"Battle Creek, MI ",2011,8,8,5.9
309,"Battle Creek, MI ",2015,4,4,3
310,"Battle Creek, MI M.S.A",2014,4,4,3
311,"Battle Creek, MI M.S.A",2016,7,7,5.2
312,"Bay City, MI ",2006,2,2,1.8
313,"Bay City, MI ",2007,4,4,3.7
314,"Bay City, MI ",2008,3,3,2.8
315,"Bay City, MI ",2009,3,3,2.8
316,"Bay City, MI ",2010,1,1,0.9
317,"Bay City, MI ",2011,3,3,2.8
318,"Bay City, MI ",2012,1,1,0.9
319,"Bay City, MI ",2013,2,2,1.9
320,"Bay City, MI ",2014,2,2,1.9
321,"Bay City, MI ",2015,0,0,0
322,"Bay City, MI ",2016,3,3,2.9
323,"Beaumont-Port Arthur, TX ",2006,18,18,4.6
324,"Beaumont-Port Arthur, TX ",2007,29,29,7.7
325,"Beaumont-Port Arthur, TX ",2008,18,18,4.8
326,"Beaumont-Port Arthur, TX ",2009,19,19,5
327,"Beaumont-Port Arthur, TX ",2010,21,21,5.6
328,"Beaumont-Port Arthur, TX ",2011,26,26,6.6
329,"Beaumont-Port Arthur, TX ",2012,24,24,5.8
330,"Beaumont-Port Arthur, TX ",2013,35,35,8.6
331,"Beaumont-Port Arthur, TX ",2014,33,33,8.1
332,"Beaumont-Port Arthur, TX ",2015,28,28,6.9
333,"Beaumont-Port Arthur, TX ",2016,27,27,6.6
334,"Beckley, WV ",2012,14,14,11.2
335,"Beckley, WV ",2015,8,8,6.5
336,"Beckley, WV M.S.A",2014,7,7,5.6
337,"Beckley, WV M.S.A",2016,12,12,9.9
338,"Bellingham, WA ",2006,1,1,0.5
339,"Bellingham, WA ",2007,2,2,1.1
340,"Bellingham, WA ",2008,2,2,1
341,"Bellingham, WA ",2009,8,8,4
342,"Bellingham, WA ",2010,5,5,2.5
343,"Bellingham, WA ",2011,3,3,1.5
344,"Bellingham, WA ",2012,4,4,1.9
345,"Bellingham, WA ",2015,6,6,2.8
346,"Bellingham, WA M.S.A",2014,2,2,1
347,"Bellingham, WA M.S.A",2016,4,4,1.9
