GEOID,MSA,year,hhs_married,hhs_singledad,hhs_singlemom,hhsize,families_married,families_singledad,families_singlemom,family_size,pct_apts,pct_ownhouse,pct_renthouse
310M200US27620,27620,2015,.5081698167652575,.0293247727600635,.0984886740730053,2.54,.7990301724137931,.0461093466424682,.1548604809437387,3.22,18.3,68.8,31.2
310M300US27620,27620,2016,.5436730123180291,.0423364519741357,.0889896326265217,2.5,.8054425773306219,.0627207535052981,.1318366691640801,3.06,19.5,70.40000000000001,29.6
3100000US27740,27740,2006,.5124536654310782,.048027947411931,.1037360996293235,2.46,.7715146040349292,.0723075378901937,.1561778580748771,3.04,16.6,71.90000000000001,28.1
3100000US27740,27740,2007,.4791153530377668,.0411150451559934,.1167128489326765,2.41,.752210428792975,.0645505629292461,.1832390082777789,2.94,18.5,66.5,33.5
3100000US27740,27740,2008,.5179087047469938,.039372200762291,.0965825237734687,2.44,.7920747384742203,.0602147160997821,.1477105454259975,3.02,14.7,71.2,28.8
3100000US27740,27740,2009,.4959178593652769,.0232109520846297,.1285003111387679,2.34,.765743605511463,.0358398831600592,.1984165113284778,2.9,15.9,68.3,31.7
310M100US27740,27740,2010,.4965102023475717,.0547807193231613,.1084325649709285,2.36,.7526034958601656,.0830358785648574,.164360625574977,2.84,15.8,70.5,29.5
310M100US27740,27740,2011,.5284623747117924,.0591228929480211,.0883080268077939,2.3,.7818724923555509,.0874737083974053,.1306537992470438,2.78,17.2,68.40000000000001,31.6
310M100US27740,27740,2012,.4581946606009817,.0416616784388842,.1134682150125703,2.32,.7470672054029787,.0679276219476489,.1850051726493724,2.93,19.3,69.3,30.7
310M200US27740,27740,2013,.4899935287491312,.0392229705438248,.110946001006639,2.32,.7654205432524008,.0612703345251689,.1733091222224302,2.94,19.4,67.3,32.7
310M200US27740,27740,2014,.4795337489834643,.0524237745589119,.116904545829552,2.29,.7390380353834417,.0807934028408472,.1801685617757111,2.8,18.3,68.3,31.7
310M200US27740,27740,2015,.4949803789392589,.0346317740809399,.116342056479765,2.33,.766277812977526,.0536133576832768,.1801088293391972,2.88,16,69.7,30.3
310M300US27740,27740,2016,.4538986670505945,.0572292409027103,.125988314196931,2.32,.7124267932131895,.0898254335913225,.197747773195488,2.84,18.5,64.59999999999999,35.4
3100000US27780,27780,2006,.5063708334749074,.0361353674696748,.118259658183548,2.37,.7663392811230524,.0546870982670849,.1789736206098627,2.95,13.7,73.5,26.5
3100000US27780,27780,2007,.5204518286238977,.0335233277316748,.1216195145614248,2.36,.7703610626730947,.0496204738947584,.1800184634321469,2.9,15.5,73.7,26.3
3100000US27780,27780,2008,.4796757538554683,.0379240174231849,.1176737693614302,2.3,.7550696246095198,.0596971461852068,.1852332292052735,2.9,15.9,73,27
3100000US27780,27780,2009,.4899689273169414,.0586834639286679,.1071163199135369,2.27,.7471672847136382,.089488051091883,.1633446641944788,2.78,16.5,73.3,26.7
310M100US27780,27780,2010,.4855836015585296,.0418600711502626,.0945112654582416,2.32,.7807375932886638,.0673040257122623,.1519583809990739,2.96,14.9,73.09999999999999,26.9
310M100US27780,27780,2011,.4948559670781893,.0481272232684662,.1146334658575713,2.36,.7524991382281971,.073184313101583,.1743165486702198,2.93,13.9,73.7,26.3
310M100US27780,27780,2012,.4711135536168167,.0492718279865357,.119615992306107,2.28,.7361133472870713,.0769870659582461,.1868995867546825,2.86,12.1,75.8,24.2
310M200US27780,27780,2013,.4753253087602557,.0426080443151532,.1123382165937952,2.29,.7541595268365485,.0676026753634404,.1782377978000111,2.88,12.3,74.7,25.3
310M200US27780,27780,2014,.4886148340467336,.0460318574135148,.1237281594274086,2.27,.7421529443112177,.0699173994138023,.18792965627498,2.8,14.8,73.59999999999999,26.4
310M200US27780,27780,2015,.4618540074328589,.0480330972582568,.0991865928055536,2.26,.7582892010131246,.0788625374165323,.1628482615703431,2.88,13.4,73.2,26.8
310M300US27780,27780,2016,.4801658310153606,.0423436032811863,.1144340307921266,2.27,.7538594197657923,.0664793747044588,.1796612055297488,2.82,13.3,74.90000000000001,25.1
3100000US27860,27860,2006,.4972845554759538,.0404427907836657,.1487601395854036,2.57,.724389833361387,.0589126409695337,.2166975256690793,3.14,16.6,67,33
3100000US27860,27860,2007,.509665700817368,.039484495956407,.1609868961639926,2.46,.7177004354313206,.0556012301696051,.2266983343990743,2.89,16.9,64,36
3100000US27860,27860,2008,.4961885699684865,.0250830423302955,.1436845243164978,2.47,.7461974446828269,.0377213487463576,.2160812065708156,2.99,17.3,65.09999999999999,34.9
3100000US27860,27860,2009,.4840152215509643,.0434072194870251,.1606647603895685,2.49,.70342134041556,.0630838931416966,.2334947664427433,2.99,17.1,56.4,43.6
310M100US27860,27860,2010,.494615351611104,.0423263397262625,.1473162569185223,2.52,.7228492600953098,.0618572861800853,.215293453724605,2.99,18.2,59.3,40.7
310M100US27860,27860,2011,.4623113438491177,.0569427592225983,.1455605934819167,2.5,.6953988024719029,.0856520764624892,.2189491210656079,3.05,19.9,58.8,41.2
310M100US27860,27860,2012,.4887218045112782,.0493039320991554,.1484804448095028,2.53,.7118971652963554,.0718186280525218,.2162842066511228,2.99,18.1,60.1,39.9
310M200US27860,27860,2013,.4634615786941149,.0773447143245675,.1490616958513777,2.55,.6718119787717968,.1121152388172858,.2160727824109174,3.02,21,57.8,42.2
310M200US27860,27860,2014,.4386487105301501,.0769518972587057,.1532793539121204,2.56,.6557958612105181,.1150459001089155,.2291582386805664,3.12,22.2,60,40
310M200US27860,27860,2015,.4565310667511187,.0392497394928795,.1457613959095274,2.54,.711615019586611,.0611802923659989,.2272046880473901,3.15,25.3,58.8,41.2
310M300US27860,27860,2016,.4190010704259488,.0746874558196837,.1423666511825177,2.54,.6587495633950402,.1174229193789096,.2238275172260502,3.11,22.3,55.9,44.1
3100000US27900,27900,2006,.5400529340829718,.044351870703021,.1070583997619532,2.58,.7810291719514405,.064142054720058,.1548287733285015,3.1,11.1,69.40000000000001,30.6
3100000US27900,27900,2007,.5076805155800276,.0465210862219997,.1220435489926167,2.63,.750734426684555,.0687932270824177,.1804723462330272,3.18,11.9,68.09999999999999,31.9
3100000US27900,27900,2008,.5094154299482804,.0324590616798907,.1332893383876364,2.58,.7545063987452549,.0480758302457209,.1974177710090242,3.08,12,67.40000000000001,32.6
3100000US27900,27900,2009,.5169204601980071,.0614560100126763,.1190930825885336,2.75,.7411369544712081,.0881128212206962,.1707502243080958,3.3,13.4,68.90000000000001,31.1
310M100US27900,27900,2010,.5210443801254221,.0410033767486734,.1163621562952243,2.6,.7680376863764637,.0604404150834389,.1715218985400973,3.1,11.5,69.90000000000001,30.1
310M100US27900,27900,2011,.4974610164921583,.0446231968723318,.138902619871478,2.6,.7305001979675333,.065527253530421,.2039725485020457,3.14,11.3,68.5,31.5
310M100US27900,27900,2012,.5018401338279147,.0466506655029457,.111222634373409,2.49,.760694125948139,.0707135297230552,.1685923443288058,3.03,14.5,65.90000000000001,34.1
310M200US27900,27900,2013,.5263880888022333,.0530420525546151,.0924801701599681,2.54,.7834201675130251,.0789421618413243,.1376376706456506,3.1,11.5,66.59999999999999,33.4
310M200US27900,27900,2014,.500225347034433,.0450243374797188,.1134396971335857,2.59,.7594252480328429,.0683544303797468,.1722203215874102,3.14,12.9,67.09999999999999,32.9
310M200US27900,27900,2015,.544907249514376,.0485624045433651,.0953009386260176,2.58,.791130247578041,.0705059203444564,.1383638320775027,3.07,9.6,65.2,34.8
310M300US27900,27900,2016,.5065894924309884,.0464826357969724,.1122736717126744,2.59,.7613927862416632,.0698623720193616,.1687448417389753,3.14,12.2,65.8,34.2
3100000US27980,27980,2006,.4799537231804796,.0687210769877998,.1162599915860328,2.94,.7218057005472779,.1033500996488564,.1748441998038657,3.54,26,59.5,40.5
3100000US27980,27980,2007,.5039946211042556,.048469387755102,.1027725043505774,2.79,.7691796945735498,.0739723546809923,.1568479507454578,3.44,24.9,60.8,39.2
3100000US27980,27980,2008,.4946067415730337,.0534627170582227,.1246373850868233,2.86,.7352485650945975,.0794740198609129,.1852774150444897,3.5,28.2,57.5,42.5
3100000US27980,27980,2009,.5052559698712908,.0516285229483094,.1430285974423706,2.98,.7218838694418165,.0737641911069063,.2043519394512772,3.43,27.9,57.6,42.4
310M100US27980,27980,2010,.516948335999075,.0505270460370378,.0976624978320775,2.94,.7772047745972882,.0759647699617569,.1468304554409549,3.52,28.3,59.4,40.6
310M100US27980,27980,2011,.5074501893470855,.0574892005556718,.1294410930750347,2.93,.7307955822302612,.0827920743237688,.18641234344597,3.47,24.6,56.6,43.4
310M100US27980,27980,2012,.4958749040675365,.0443975441289332,.1285878741366078,2.98,.7413728808697398,.0663779008060583,.1922492183242018,3.64,25.4,57.1,42.9
310M200US27980,27980,2013,.487251180446255,.0474770854550505,.1163966299416721,2.92,.7483221476510067,.0729154817426914,.1787623706063019,3.53,25.8,59.1,40.9
310M200US27980,27980,2014,.5019593413669395,.0502805629656885,.1312114800846288,2.95,.734447764408194,.0735686021158039,.1919836334760021,3.38,29.8,56.9,43.1
