GEOID,MSA,year,pct_enroll_public,pct_enroll_private,pct5_9_enroll,pct10_14_enroll,pct15_17_enroll,pct18_19_enroll
310M200US10780,10780,2015,84.5,15.5,93.40000000000001,99.90000000000001,97.09999999999999,68.8
310M300US10780,10780,2016,83.7,16.3,97.2,99.7,93.40000000000001,71.7
3100000US10880,10880,2006,83.40000000000001,16.6,95,98,95.40000000000001,58.8
3100000US10880,10880,2007,83.90000000000001,16.1,93.90000000000001,100,98.40000000000001,74.3
3100000US10880,10880,2008,82.09999999999999,17.9,32.5,96.40000000000001,99.40000000000001,94.3
3100000US10880,10880,2009,82.59999999999999,17.4,40.9,95.8,99.3,94.90000000000001
310M100US10880,10880,2010,89.09999999999999,10.9,94.40000000000001,98.90000000000001,97.2,72
310M100US10880,10880,2011,85.3,14.7,95.59999999999999,97.8,97.59999999999999,68.90000000000001
310M100US10880,10880,2012,81.90000000000001,18.1,95.09999999999999,98.2,96.90000000000001,62.7
3100000US10900,10900,2006,76.8,23.2,95.2,98.7,97.2,76.59999999999999
3100000US10900,10900,2007,77,23,95.09999999999999,97.8,98,78.40000000000001
3100000US10900,10900,2008,75.59999999999999,24.4,46.9,95.09999999999999,99.5,94.59999999999999
3100000US10900,10900,2009,76.59999999999999,23.4,48.1,95.59999999999999,98.7,96.8
310M100US10900,10900,2010,73.7,26.3,96.09999999999999,98.90000000000001,96.7,84.59999999999999
310M100US10900,10900,2011,77.7,22.3,95.3,98.2,98.09999999999999,78.2
310M100US10900,10900,2012,79.59999999999999,20.4,94.8,99.40000000000001,97.8,74.90000000000001
310M200US10900,10900,2013,76.7,23.3,94.8,98.90000000000001,95.8,76.40000000000001
310M200US10900,10900,2014,74.7,25.3,94.40000000000001,98.7,96,72.90000000000001
310M200US10900,10900,2015,77.7,22.3,93.8,97.7,98.09999999999999,79.09999999999999
310M300US10900,10900,2016,75.7,24.3,94.7,97.5,97.5,74.90000000000001
3100000US11020,11020,2006,83,17,96.5,98.5,99.2,79.09999999999999
3100000US11020,11020,2007,85,15,91.7,97.59999999999999,98.90000000000001,86.40000000000001
3100000US11020,11020,2008,86,14,60.4,95.7,98.90000000000001,91.90000000000001
3100000US11020,11020,2009,84.59999999999999,15.4,47.5,91.59999999999999,95.2,94.90000000000001
310M100US11020,11020,2010,84.90000000000001,15.1,96.5,96.8,96,58.1
310M100US11020,11020,2011,85.59999999999999,14.4,95.40000000000001,99.2,91.09999999999999,81.09999999999999
310M100US11020,11020,2012,84.8,15.2,93.8,97.09999999999999,95.2,82.09999999999999
310M200US11020,11020,2013,89.09999999999999,10.9,94.09999999999999,97.7,98.40000000000001,77.90000000000001
310M200US11020,11020,2014,85,15,93.09999999999999,97.3,95.7,69.7
310M200US11020,11020,2015,88.5,11.5,96.5,91.59999999999999,96.5,78.09999999999999
310M300US11020,11020,2016,86.8,13.2,95.8,96.90000000000001,97.7,76.3
3100000US11100,11100,2006,92.7,7.3,96.90000000000001,97.2,96.3,62.9
3100000US11100,11100,2007,93.09999999999999,6.9,96.40000000000001,98.90000000000001,96.40000000000001,62.2
3100000US11100,11100,2008,90.09999999999999,9.9,33.4,94.2,99.59999999999999,95.3
