GEOID,MSA,year,pct_nativeborn,pct_foreignborn,pct_foreign_citizen,pct_foreign_noncitizen
310M100US11980,11980,2012,,,,
310M200US11980,11980,2013,,,,
310M200US11980,11980,2014,,,,
310M200US11980,11980,2015,,,,
310M300US11980,11980,2016,,,,
3100000US12020,12020,2006,92.12672322375398,7.873276776246023,2.13202545068929,5.741251325556734
3100000US12020,12020,2007,92.41190373871937,7.588096261280619,1.782337773957886,5.805758487322733
3100000US12020,12020,2008,92.13771973099992,7.862280269000078,2.236647365824527,5.625632903175551
3100000US12020,12020,2009,93.12574585867721,6.874254141322806,1.719089250697887,5.155164890624918
310M100US12020,12020,2010,92.35355850611141,7.646441493888591,2.273830843693057,5.372610650195534
310M100US12020,12020,2011,92.36411579129107,7.635884208708936,2.76137011672256,4.874514091986376
310M100US12020,12020,2012,92.69396205073393,7.306037949266075,1.98670686085788,5.319331088408196
310M200US12020,12020,2013,93.066596824223,6.933403175776998,1.906287874119266,5.027115301657731
310M200US12020,12020,2014,92.56059811392548,7.439401886074518,2.68462242515863,4.754779460915888
310M200US12020,12020,2015,92.28175178105734,7.718248218942657,2.15425505340674,5.563993165535916
310M300US12020,12020,2016,91.86836465748701,8.131635342512993,2.724339236889425,5.407296105623568
3100000US12060,12060,2006,86.86027341137819,13.13972658862182,4.142337794225293,8.997388794396526
3100000US12060,12060,2007,87.07965300215888,12.92034699784113,4.326269599959191,8.594077397881939
3100000US12060,12060,2008,86.57532647094722,13.42467352905279,4.787547795936151,8.637125733116637
3100000US12060,12060,2009,86.7915365925401,13.20846340745991,4.724908860844424,8.483554546615483
310M100US12060,12060,2010,86.27854010771833,13.72145989228167,4.932210417881826,8.789249474399842
310M100US12060,12060,2011,86.58845259140331,13.41154740859669,5.628375918089355,7.783171490507339
310M100US12060,12060,2012,86.61736319198135,13.38263680801864,5.211143536120081,8.171493271898566
310M200US12060,12060,2013,86.54107109885375,13.45892890114624,5.488681891319193,7.970247009827052
310M200US12060,12060,2014,86.44570638258863,13.55429361741138,5.896843895428366,7.657449721983012
310M200US12060,12060,2015,86.02832335344196,13.97167664655804,6.117531072799637,7.854145573758409
310M300US12060,12060,2016,86.13241360441685,13.86758639558315,5.913635117634721,7.953951277948425
3100000US12100,12100,2006,84.76582009556537,15.23417990443462,7.446197884441927,7.787982019992695
3100000US12100,12100,2007,85.23966304465894,14.76033695534106,7.09344180628439,7.666895149056667
3100000US12100,12100,2008,86.57288234808517,13.42711765191484,7.384295566946093,6.042822084968743
3100000US12100,12100,2009,84.51700091089641,15.48299908910359,7.056460644795198,8.42653844430839
310M100US12100,12100,2010,84.25673096685165,15.74326903314836,8.741448662614875,7.001820370533486
310M100US12100,12100,2011,83.12910581763835,16.87089418236165,8.954675812534196,7.91621836982745
310M100US12100,12100,2012,82.05615136646213,17.94384863353787,8.980705971891386,8.963142661646486
310M200US12100,12100,2013,84.23701310567134,15.76298689432867,9.23756130720483,6.525425587123842
310M200US12100,12100,2014,83.73087721098658,16.26912278901342,8.333027906260766,7.936094882752655
310M200US12100,12100,2015,83.37792420289215,16.62207579710786,10.04289567947641,6.579180117631451
310M300US12100,12100,2016,82.1602295397996,17.8397704602004,10.03489423385861,7.804876226341784
3100000US12180,12180,2006,97.80682679523342,2.19317320476658,1.402885296420095,.7902879083464841
3100000US12180,12180,2007,,,,
3100000US12180,12180,2008,,,,
3100000US12180,12180,2009,,,,
310M100US12180,12180,2010,,,,
310M100US12180,12180,2011,,,,
310M100US12180,12180,2012,,,,
310M200US12180,12180,2013,97.68778062454022,2.31221937545978,1.364754826107912,.9474645493518683
310M200US12180,12180,2014,,,,
310M200US12180,12180,2015,,,,
310M300US12180,12180,2016,,,,
3100000US12220,12220,2006,95.56369622050802,4.43630377949198,1.282154730013233,3.154149049478747
3100000US12220,12220,2007,96.25255437020691,3.747445629793086,1.364402762993295,2.383042866799792
3100000US12220,12220,2008,96.29843620523191,3.701563794768091,.734382958666251,2.96718083610184
3100000US12220,12220,2009,96.42684513850158,3.57315486149842,1.34671872095185,2.22643614054657
310M100US12220,12220,2010,94.44432447218203,5.555675527817969,1.531086012913814,4.024589514904154
310M100US12220,12220,2011,94.75808446722036,5.241915532779643,.8800141367732816,4.361901396006362
310M100US12220,12220,2012,95.73741836474872,4.262581635251288,1.352272023453145,2.910309611798143
310M200US12220,12220,2013,,,,
310M200US12220,12220,2014,,,,
310M200US12220,12220,2015,94.00106779192208,5.99893220807791,2.221779095721756,3.777153112356153
310M300US12220,12220,2016,94.59303285454845,5.406967145451544,1.703686770551555,3.703280374899989
3100000US12260,12260,2006,96.58470024902419,3.415299750975814,1.689599018654493,1.725700732321321
3100000US12260,12260,2007,96.24093756865479,3.759062431345217,1.8872963083613,1.871766122983917
3100000US12260,12260,2008,96.31277429097258,3.687225709027417,1.75187579632863,1.935349912698787
3100000US12260,12260,2009,96.52645207005139,3.473547929948609,1.411505750613883,2.062042179334727
310M100US12260,12260,2010,95.74705371990456,4.252946280095438,2.27405827488974,1.978888005205697
310M100US12260,12260,2011,95.76907604803489,4.230923951965105,1.881853784723287,2.349070167241818
310M100US12260,12260,2012,95.75741185220242,4.242588147797573,1.821937623545697,2.420650524251876
310M200US12260,12260,2013,96.31060985244183,3.689390147558167,1.926574944933825,1.762815202624342
310M200US12260,12260,2014,95.22218184536901,4.777818154630983,2.644413418020402,2.133404736610581
310M200US12260,12260,2015,95.61764832237832,4.382351677621687,1.780298148386819,2.602053529234867
310M300US12260,12260,2016,94.65854040758481,5.341459592415189,2.488127440092119,2.85333215232307
3100000US12300,12300,2006,,,,
3100000US12300,12300,2007,,,,
3100000US12300,12300,2008,,,,
3100000US12300,12300,2009,,,,
310M100US12300,12300,2010,,,,
310M100US12300,12300,2011,,,,
310M100US12300,12300,2012,,,,
310M200US12300,12300,2013,,,,
310M200US12300,12300,2014,96.99994999916666,3.000050000833347,2.0342005700095,.9658494308238471
310M200US12300,12300,2015,,,,
310M300US12300,12300,2016,,,,
3100000US12420,12420,2006,85.25660325254178,14.74339674745822,3.948446976968178,10.79494977049004
3100000US12420,12420,2007,85.54468515231555,14.45531484768444,4.087263099112776,10.36805174857166
3100000US12420,12420,2008,85.27015011245358,14.72984988754642,4.310094977893872,10.41975490965255
3100000US12420,12420,2009,85.14404497048618,14.85595502951382,4.264969043136866,10.59098598637695
310M100US12420,12420,2010,85.53026488301695,14.46973511698305,3.859390277254475,10.61034483972858
310M100US12420,12420,2011,84.87164671144718,15.12835328855281,4.370357672760132,10.75799561579268
310M100US12420,12420,2012,85.38297455903769,14.6170254409623,4.674460290447392,9.942565150514913
310M200US12420,12420,2013,84.96126698097486,15.03873301902514,5.018143503013166,10.02058951601198
310M200US12420,12420,2014,84.97298750532096,15.02701249467904,4.886893482353174,10.14011901232587
310M200US12420,12420,2015,84.70230072795798,15.29769927204202,5.466874317128024,9.830824954913995
310M300US12420,12420,2016,85.42052456975352,14.57947543024649,5.940218590430562,8.639256839815925
3100000US12540,12540,2006,78.51927949425185,21.48072050574815,6.376415824601573,15.10430468114657
3100000US12540,12540,2007,79.08229325111252,20.91770674888749,6.394528783929911,14.52317796495758
3100000US12540,12540,2008,80.19234805839137,19.80765194160863,6.292783767452215,13.51486817415641
3100000US12540,12540,2009,79.99773869346734,20.00226130653266,5.841959798994975,14.16030150753769
310M100US12540,12540,2010,79.03149387013043,20.96850612986957,6.159286188775147,14.80921994109442
310M100US12540,12540,2011,79.31851629230501,20.68148370769499,6.732308162014277,13.94917554568071
310M100US12540,12540,2012,78.87638957864905,21.12361042135094,6.719284667016716,14.40432575433423
310M200US12540,12540,2013,79.24611240443653,20.75388759556346,6.398327038628622,14.35556055693484
310M200US12540,12540,2014,80.33215061264313,19.66784938735686,6.256909182346792,13.41094020501007
310M200US12540,12540,2015,79.38915170164883,20.61084829835117,6.961718642355211,13.64912965599596
310M300US12540,12540,2016,79.58022679852468,20.41977320147533,7.149412723129118,13.27036047834621
3100000US12580,12580,2006,92.3705631718345,7.629436828165491,3.72303466907142,3.906402159094071
3100000US12580,12580,2007,92.04469134526845,7.95530865473155,3.943047861008883,4.012260793722668
3100000US12580,12580,2008,92.07605373160159,7.923946268398413,3.959809842899509,3.964136425498904
3100000US12580,12580,2009,91.6162733293945,8.383726670605499,4.111749884866334,4.271976785739166
310M100US12580,12580,2010,90.63489542082992,9.36510457917008,4.45988434616205,4.90522023300803
310M100US12580,12580,2011,90.88971156554163,9.110288434458369,4.402565197660702,4.707723236797666
310M100US12580,12580,2012,90.42885727635431,9.571142723645693,4.705118576413971,4.866024147231722
310M200US12580,12580,2013,90.70003511557996,9.299964884420046,4.772247510393079,4.527717374026968
310M200US12580,12580,2014,89.77233021280794,10.22766978719205,5.361362789467401,4.866306997724645
310M200US12580,12580,2015,89.56079658350711,10.43920341649288,5.427741783296986,5.0114616331959
310M300US12580,12580,2016,89.46416509234609,10.53583490765391,5.656609076033362,4.879225831620545
3100000US12620,12620,2006,,,,
3100000US12620,12620,2007,,,,
3100000US12620,12620,2008,97.23147631933207,2.768523680667927,1.185053235610068,1.583470445057859
3100000US12620,12620,2009,97.32644516477581,2.673554835224203,1.393165856293895,1.280388978930308
310M100US12620,12620,2010,97.12512465228573,2.874875347714271,1.37839185430116,1.496483493413111
310M100US12620,12620,2011,,,,
310M100US12620,12620,2012,,,,
310M200US12620,12620,2013,,,,
310M200US12620,12620,2014,,,,
310M200US12620,12620,2015,,,,
310M300US12620,12620,2016,,,,
3100000US12700,12700,2006,92.40169649917331,7.598303500826684,3.889008698152542,3.709294802674143
3100000US12700,12700,2007,92.72824719417532,7.271752805824669,3.300676304804989,3.97107650101968
3100000US12700,12700,2008,,,,
3100000US12700,12700,2009,94.77810233590857,5.221897664091435,2.897363799332078,2.324533864759357
310M100US12700,12700,2010,91.44878039676763,8.551219603232369,3.922885989959502,4.628333613272866
310M100US12700,12700,2011,92.73985811374192,7.260141886258088,3.982224623740561,3.277917262517526
310M100US12700,12700,2012,93.78119324521801,6.218806754781991,3.778438668652452,2.44036808612954
310M200US12700,12700,2013,92.45847238366643,7.541527616333571,4.124170385091305,3.417357231242266
310M200US12700,12700,2014,93.64465995741847,6.355340042581529,3.682739474202534,2.672600568378994
310M200US12700,12700,2015,92.00937146398607,7.990628536013936,4.448628320038313,3.542000215975623
310M300US12700,12700,2016,92.78326842961108,7.216731570388907,4.097603951394844,3.119127618994062
3100000US12940,12940,2006,96.69390777694026,3.306092223059732,1.369593102445088,1.936499120614644
3100000US12940,12940,2007,96.6284440448682,3.371555955131794,1.339631916677839,2.031924038453956
3100000US12940,12940,2008,96.99657545416001,3.003424545839992,1.185479925638433,1.817944620201559
3100000US12940,12940,2009,96.78679988216938,3.21320011783063,1.181650837999606,2.031549279831024
310M100US12940,12940,2010,96.45643114787811,3.54356885212189,1.246879017535537,2.296689834586353
310M100US12940,12940,2011,96.25749197076267,3.742508029237326,1.016013363056862,2.726494666180464
310M100US12940,12940,2012,96.82942555467349,3.170574445326505,1.55056383574782,1.620010609578685
310M200US12940,12940,2013,96.26144333258001,3.738556667419984,1.267673642885282,2.470883024534702
310M200US12940,12940,2014,96.22731497334051,3.772685026659492,1.420535146504916,2.352149880154576
310M200US12940,12940,2015,96.09790563074525,3.902094369254762,1.663609861339406,2.238484507915356
310M300US12940,12940,2016,96.22205182065194,3.777948179348056,1.375286038417882,2.402662140930174
3100000US12980,12980,2006,96.90425664711022,3.095743352889777,.9362127075271502,2.159530645362626
3100000US12980,12980,2007,,,,
3100000US12980,12980,2008,96.11671507395488,3.883284926045112,1.436539165104941,2.446745760940171
3100000US12980,12980,2009,,,,
310M100US12980,12980,2010,,,,
310M100US12980,12980,2011,,,,
310M100US12980,12980,2012,,,,
310M200US12980,12980,2013,96.97271251243912,3.027287487560886,1.500924048454557,1.526363439106329
310M200US12980,12980,2014,,,,
310M200US12980,12980,2015,96.34102243449699,3.658977565503005,1.337933736119691,2.321043829383315
310M300US12980,12980,2016,96.61448524204849,3.385514757951515,1.063717587500565,2.32179717045095
3100000US13020,13020,2006,,,,
3100000US13020,13020,2007,,,,
3100000US13020,13020,2008,,,,
3100000US13020,13020,2009,,,,
310M100US13020,13020,2010,,,,
310M100US13020,13020,2011,,,,
310M100US13020,13020,2012,,,,
310M200US13020,13020,2013,,,,
