GEOID,MSA,year,income10lo,income10_15,income15_25,income25_35,income35_50,income50_75,income75_100,income100_150,income150_200,income200up,income_median,income_mean
3100000US10580,10580,2008,6.5,4.3,9.1,9.9,13.3,19,15.5,14.6,4.9,2.9,58765,70913
3100000US10580,10580,2009,6.1,5.4,9.199999999999999,9.199999999999999,13.4,19,14,14.9,5.3,3.5,57677,73357
310M100US10580,10580,2010,6,5.9,10.6,9.4,12.3,19.4,12.6,15.3,5.1,3.2,55796,71547
310M100US10580,10580,2011,6.1,4.6,9,8.5,13.8,20.1,14,15.4,5.1,3.4,58617,73004
310M100US10580,10580,2012,6,4.8,9.699999999999999,8.699999999999999,11.8,20,14,15.8,5.5,3.8,60625,75558
310M200US10580,10580,2013,5.5,5.3,9.300000000000001,9.1,13,18.2,13.5,16,6,4.3,59626,76670
310M200US10580,10580,2014,5.5,4.6,8.5,8.5,13.1,18.4,14.1,17.3,5.6,4.4,62265,79446
310M200US10580,10580,2015,5.1,4.3,8.699999999999999,8.6,12.1,19.2,14.1,15.6,7.1,5.3,63080,81725
310M300US10580,10580,2016,5,4.3,8.699999999999999,8.9,11.9,17.6,13.2,17.5,6.6,6.4,65855,85684
3100000US10700,10700,2006,12.5,8.300000000000001,11.6,15,17.1,16.6,10.4,6.4,.9,1.2,37030,48283
3100000US10700,10700,2007,11.3,10,16.9,12.6,14,17.7,6.8,6.8,2.6,1.5,34153,48475
3100000US10700,10700,2008,12.5,10.7,12,14.5,14.3,14.9,9.300000000000001,8.5,.9,2.5,35205,52079
3100000US10700,10700,2009,12.2,12.1,14,9.699999999999999,15.8,18.9,7.6,7.1,2,.7,37284,45816
310M100US10700,10700,2010,9.699999999999999,7.3,16.2,11.5,18.2,14.4,11.7,8.1,1.6,1.2,39343,50034
310M100US10700,10700,2011,7.6,9.300000000000001,14.7,13.9,15.2,14.8,10.2,8.1,2.8,3.4,39245,56890
310M100US10700,10700,2012,9,8.5,18.8,12.1,13.4,15.5,11.4,7.2,2.2,1.9,36197,52306
310M200US10700,10700,2013,9.300000000000001,6.8,17.1,13.8,14,19.2,8.300000000000001,7.2,2.2,2,38116,53020
310M200US10700,10700,2014,9,9.699999999999999,19.3,13.7,13.2,13.5,9.1,8.4,2.8,1.4,33446,51343
310M200US10700,10700,2015,6.4,6.9,16.2,12,18,17.7,8.699999999999999,8.199999999999999,2.5,3.4,40525,59938
310M300US10700,10700,2016,7.6,7.6,12.2,15.5,17,14.2,11.7,9.5,1.7,3.1,42362,59315
3100000US10740,10740,2006,8.4,6.4,11.9,12.2,15.6,19.4,11.4,9.699999999999999,2.9,2.1,44799,58745
3100000US10740,10740,2007,8,6.3,11.2,12.9,15.7,18.6,11.7,9.800000000000001,3.4,2.3,45325,60427
3100000US10740,10740,2008,7.9,6.4,11.6,11,15.3,18.9,11.1,11.2,3.8,2.7,47198,63503
3100000US10740,10740,2009,8.699999999999999,5.3,11.7,11,16,18.9,11.7,10.7,3.5,2.5,46824,61059
310M100US10740,10740,2010,8.4,5.4,11.9,11.1,15.1,18.3,11.9,11.1,3.8,2.9,47383,63619
310M100US10740,10740,2011,9.9,6.5,12.7,11.1,14.1,17.9,9.9,10.8,4,3,45027,61912
310M100US10740,10740,2012,9.199999999999999,5.9,11.9,11.8,13.7,17.8,11.6,11.2,4.1,2.8,46725,62672
310M200US10740,10740,2013,8.4,6.1,12.4,10.8,13.3,18.6,12,11.4,3.8,3.2,48355,64625
310M200US10740,10740,2014,9.800000000000001,5.4,11.9,10.1,14.6,17.1,11.8,11.4,4.2,3.6,47581,65138
310M200US10740,10740,2015,8.9,5.1,12.9,10.4,13.6,18.1,11.6,11.9,4.4,3.1,48937,65938
310M300US10740,10740,2016,7.4,5.7,12.1,10.2,13.6,18.8,12,11.8,4.3,4.2,50954,68558
3100000US10780,10780,2006,11.8,10.2,15.4,12.6,13.9,17.7,8.9,6,1.9,1.5,34966,48846
3100000US10780,10780,2007,10.7,8.9,16.2,11.5,13.6,16.8,10.8,8.199999999999999,1.9,1.4,37180,51560
3100000US10780,10780,2008,8,6.7,16,12,13.2,18.6,12.4,8.800000000000001,2.6,1.7,42595,56104
