GEOID,MSA,year,pct16_manuf,pct16_info,pct16_finance,pct16_prof,pct16_edhealth
310M100US34980,34980,2012,10.41492256174132,2.82557455799398,6.962591440929658,11.04678686041181,22.91492256174131
310M200US34980,34980,2013,10.01950096465695,2.848249242879954,6.675703229724597,11.35639658196236,21.94499319371305
310M200US34980,34980,2014,11.14475185684212,2.639708734163877,7.299132614285746,10.89500575043773,22.92272442960814
310M200US34980,34980,2015,10.44974642816722,2.410360605554328,7.302114266312403,11.6259316945928,22.35075370926278
310M300US34980,34980,2016,9.768506260165676,2.586337330256837,6.79130259358727,11.8644744528922,21.91867038199829
3100000US35100,35100,2006,,,,,
3100000US35100,35100,2007,,,,,
3100000US35100,35100,2008,,,,,
3100000US35100,35100,2009,,,,,
310M100US35100,35100,2010,,,,,
310M100US35100,35100,2011,,,,,
310M100US35100,35100,2012,,,,,
310M200US35100,35100,2013,,,,,
310M200US35100,35100,2014,,,,,
310M200US35100,35100,2015,,,,,
310M300US35100,35100,2016,,,,,
3100000US35260,35260,2006,,,,,
3100000US35260,35260,2007,,,,,
3100000US35260,35260,2008,,,,,
3100000US35260,35260,2009,,,,,
310M100US35260,35260,2010,,,,,
310M100US35260,35260,2011,,,,,
310M100US35260,35260,2012,,,,,
310M200US35260,35260,2013,,,,,
310M200US35260,35260,2014,,,,,
310M200US35260,35260,2015,,,,,
310M300US35260,35260,2016,,,,,
3100000US35300,35300,2006,14.29353428358156,2.678704723989621,6.987049609592531,8.624509769073093,25.98324624699345
3100000US35300,35300,2007,12.99229132115224,2.814889684511226,6.831991610375991,9.910717887029536,28.14533789827581
3100000US35300,35300,2008,12.28945254217835,2.896361758292207,7.212670721909791,8.957649489268908,28.20635831516125
3100000US35300,35300,2009,11.77098099861105,2.90199559927641,7.188405382056312,9.768222193584107,30.47715871720339
310M100US35300,35300,2010,12.32401987484272,2.408005118556909,6.190076374006674,8.80810406463843,31.93817772714191
310M100US35300,35300,2011,11.74267199246986,2.123885261925736,6.417512399386969,8.446064175123993,31.98281583742624
310M100US35300,35300,2012,12.21627620041906,2.494652230731604,6.401261562497719,8.915138993329585,31.08909541783174
310M200US35300,35300,2013,10.97882642869864,2.154178639673853,6.184328958071612,9.78224770046063,31.44532848155796
310M200US35300,35300,2014,11.86694822230141,2.2620906701614,6.599737416687193,9.301380116847183,30.79997034578252
310M200US35300,35300,2015,10.68905646444654,2.212729562805392,6.541678253371439,10.11162962426361,29.74718004921331
310M300US35300,35300,2016,10.75123296636515,2.360750765490966,5.921744618189468,10.9648692237571,31.74228081247225
3100000US35340,35340,2006,,,,,
3100000US35340,35340,2007,,,,,
3100000US35340,35340,2008,,,,,
3100000US35340,35340,2009,,,,,
310M100US35340,35340,2010,,,,,
310M100US35340,35340,2011,,,,,
310M100US35340,35340,2012,,,,,
3100000US35380,35380,2006,7.151386930982233,1.499420508501041,7.318526794059498,10.16914114301674,19.68907587050179
3100000US35380,35380,2007,6.76367091428115,1.605362841010851,6.313404159607162,10.53397180682673,20.47767795206404
3100000US35380,35380,2008,7.354986454098254,1.932815375646336,5.895991861027812,9.767528701689141,21.33774829390225
3100000US35380,35380,2009,6.129011208909125,1.569501036787843,5.925822542522803,10.44926264808666,22.55901715412613
310M100US35380,35380,2010,6.566694658330263,1.394658143236273,6.138777556047228,9.843215512743065,22.73272200537515
310M100US35380,35380,2011,6.729453759666053,1.571459652409276,4.97804049693747,10.55899933992426,21.90935205637563
